Description,Vendor's Item #,PO #,PO Date,Invoice #,Invoice Date,PO Vendor,Ship To,Item Style,Item Attribute,PO Line Unit,ORDER_QTY,ORDER_QTY,Outstanding QTY,Item #
LA PETINA #1,,100018,,734390,3/21/16,BOYANG,BSW7,LA PETINA,#1,11.5,1,1,0,885160036799
LA PRESTY #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LA PRESTY,#1B,11.75,1,1,0,842045062274
LA PRESTY #2,,100018,,734390,3/21/16,BOYANG,BSW7,LA PRESTY,#2,11.75,1,1,0,842045062281
LA PRESTY #4,,100018,,734390,3/21/16,BOYANG,BSW7,LA PRESTY,#4,11.75,2,2,0,842045062311
LA PRESTY #SP427,,100018,,734390,3/21/16,BOYANG,BSW7,LA PRESTY,#SP427,11.75,1,1,0,842045062403
LAS DESPIN #1,,100018,,734390,3/21/16,BOYANG,BSW7,LAS DESPIN,#1,12.95,1,1,0,885160058210
LAS DESPIN #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LAS DESPIN,#1B,12.95,1,1,0,885160058227
LAS DESPIN #2,,100018,,734390,3/21/16,BOYANG,BSW7,LAS DESPIN,#2,12.95,1,1,0,885160058234
LAS DESPIN #SP1B/30,,100018,,734390,3/21/16,BOYANG,BSW7,LAS DESPIN,#SP1B/30,12.95,1,1,0,885160058289
LAS ELORAS #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LAS ELORAS,#1B,12.95,2,2,0,885160058357
LAS ELORAS #SP1B/30,,100018,,734390,3/21/16,BOYANG,BSW7,LAS ELORAS,#SP1B/30,12.95,1,1,0,885160058418
LAS FELINY #4,,100018,,734390,3/21/16,BOYANG,BSW7,LAS FELINY,#4,12.95,1,1,0,885160058630
LAS FELINY #SP1B/30,,100018,,734390,3/21/16,BOYANG,BSW7,LAS FELINY,#SP1B/30,12.95,1,1,0,885160058654
LAS RICKY #1,,100018,,734390,3/21/16,BOYANG,BSW7,LAS RICKY,#1,12.95,1,1,0,885160104450
LAS RICKY #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LAS RICKY,#1B,12.95,1,1,0,885160104467
LAS RICKY #2,,100018,,734390,3/21/16,BOYANG,BSW7,LAS RICKY,#2,12.95,1,1,0,885160104474
LAS RICKY #4,,100018,,734390,3/21/16,BOYANG,BSW7,LAS RICKY,#4,12.95,1,1,0,885160104481
LAS SILVAN #2,,100018,,734390,3/21/16,BOYANG,BSW7,LAS SILVAN,#2,13.75,1,1,0,885160071547
LAS UMELA #1,,100018,,734390,3/21/16,BOYANG,BSW7,LAS UMELA,#1,12.95,2,2,0,885160060251
LAS UMELA #1B,,100018,,734390,3/21/16,BOYANG,BSW7,LAS UMELA,#1B,12.95,2,2,0,885160060268
LAS UMELA #2,,100018,,734390,3/21/16,BOYANG,BSW7,LAS UMELA,#2,12.95,1,1,0,885160060275
LAS ZETELA #SP427,,100018,,734390,3/21/16,BOYANG,BSW7,LAS ZETELA,#SP427,12.95,1,1,0,885160072582
LA ZETY #1,,100018,,734390,3/21/16,BOYANG,BSW7,LA ZETY,#1,11.75,2,2,0,885160022693
LA ZETY #2,,100018,,734390,3/21/16,BOYANG,BSW7,LA ZETY,#2,11.75,1,1,0,885160022716
LA ZETY #4,,100018,,734390,3/21/16,BOYANG,BSW7,LA ZETY,#4,11.75,2,2,0,885160022723
LOVIE #1BN30,,100018,,734390,3/21/16,BOYANG,BSW7,LOVIE,#1BN30,17.75,1,1,0,842045035810
LOVIE #SP1B/30,,100018,,734390,3/21/16,BOYANG,BSW7,LOVIE,#SP1B/30,17.75,1,1,0,842045035926
MELO 28 #1,,100018,,734390,3/21/16,BOYANG,BSW7,MELO 28,#1,14.95,4,4,0,885160077020
MELO 28 #1B,,100018,,734390,3/21/16,BOYANG,BSW7,MELO 28,#1B,14.95,2,2,0,885160077037
MOBY #1,,100018,,734390,3/21/16,BOYANG,BSW7,MOBY,#1,17.5,1,1,0,885160012304
MOBY #1B,,100018,,734390,3/21/16,BOYANG,BSW7,MOBY,#1B,17.5,2,2,0,885160012311
MOBY #4,,100018,,734390,3/21/16,BOYANG,BSW7,MOBY,#4,17.5,1,1,0,885160012342
MOBY #SP1B/30,,100018,,734390,3/21/16,BOYANG,BSW7,MOBY,#SP1B/30,17.5,1,1,0,885160012434
MOBY #SP427,,100018,,734390,3/21/16,BOYANG,BSW7,MOBY,#SP427,17.5,1,1,0,885160012458
SUPER BELINA #1,,100018,,734390,3/21/16,BOYANG,BSW7,SUPER BELINA,#1,20.95,2,0,2,885160072605
SUPER BELINA #2,,100018,,734390,3/21/16,BOYANG,BSW7,SUPER BELINA,#2,20.95,1,0,1,885160072629
SUPER DIANA #1,,100018,,734390,3/21/16,BOYANG,BSW7,SUPER DIANA,#1,19.75,1,1,0,885160070977
SUPER DIANA #1B,,100018,,734390,3/21/16,BOYANG,BSW7,SUPER DIANA,#1B,19.75,2,2,0,885160070984
SUPER DIANA #2,,100018,,734390,3/21/16,BOYANG,BSW7,SUPER DIANA,#2,19.75,1,1,0,885160070991
SUPER DIANA #4,,100018,,734390,3/21/16,BOYANG,BSW7,SUPER DIANA,#4,19.75,1,1,0,885160071004
SUPER MASON #1B,,100018,,734390,3/21/16,BOYANG,BSW7,SUPER MASON,#1B,20.5,2,0,2,885160076061
SUPER MASON #2,,100018,,734390,3/21/16,BOYANG,BSW7,SUPER MASON,#2,20.5,1,1,0,885160076078
SUPER MOON #1B,,100018,,734390,3/21/16,BOYANG,BSW7,SUPER MOON,#1B,20.5,1,1,0,885160057084
SUPER MOON #2,,100018,,734390,3/21/16,BOYANG,BSW7,SUPER MOON,#2,20.5,1,1,0,885160057091
SUPER MOON #SP1B/33,,100018,,734390,3/21/16,BOYANG,BSW7,SUPER MOON,#SP1B/33,20.5,1,1,0,885160057152
SUPER PARK #1,,100018,,734390,3/21/16,BOYANG,BSW7,SUPER PARK,#1,19.95,1,1,0,885160062439
SUPER PARK #1B,,100018,,734390,3/21/16,BOYANG,BSW7,SUPER PARK,#1B,19.95,2,2,0,885160062446
SUPER PARK #2,,100018,,734390,3/21/16,BOYANG,BSW7,SUPER PARK,#2,19.95,2,2,0,885160062453
SUPER PARK #4,,100018,,734390,3/21/16,BOYANG,BSW7,SUPER PARK,#4,19.95,1,1,0,885160062460
TALENT #1B,,100018,,734390,3/21/16,BOYANG,BSW7,TALENT,#1B,16.95,2,2,0,885160069803
TALENT #4,,100018,,734390,3/21/16,BOYANG,BSW7,TALENT,#4,16.95,2,2,0,885160080631
TOP BOSA #SP1B/30,,100018,,734390,3/21/16,BOYANG,BSW7,TOP BOSA,#SP1B/30,17.95,1,1,0,885160008185
TOP BOSA #SP430,,100018,,734390,3/21/16,BOYANG,BSW7,TOP BOSA,#SP430,17.95,1,0,1,885160008215
TOP FABY #2,,100018,,734390,3/21/16,BOYANG,BSW7,TOP FABY,#2,20.95,1,1,0,885160012007
TOP KISS #2,,100018,,734390,3/21/16,BOYANG,BSW7,TOP KISS,#2,17.95,1,1,0,885160023089
TOP KISS #4,,100018,,734390,3/21/16,BOYANG,BSW7,TOP KISS,#4,17.95,1,1,0,885160023096
TOP LONY #1,,100018,,734390,3/21/16,BOYANG,BSW7,TOP LONY,#1,18.95,1,1,0,885160036249
