Item #,PO #,Item Description,Shipped Qty,UPC,PO Receive At Location,Invoice #,Ordered Qty,Vendor's Item #,Qty,Unit Cost,Extended Cost,Received Qty,Open Qty,Open Cost
75707014506,100023,COCOCARE COCOA BUTTER LIP BALM .15oz,10,75707014506,BSW7,,,7570701450,10,$0.67,$6.70,0,10,$6.70
64302290606,100023,SMO WASH CONDITIONING TREATMENT  8oz,10,64302290606,BSW7,,,6430229060,10,$0.00,$0.00,0,10,$0.00
705372044729,100023,ANNIE MESH WEAVING CAP 4472,10,705372044729,BSW7,,,537204472,10,$0.66,$6.60,0,10,$6.60
725509022390,100023,VITALE MO BODY SENS SCALP RELAX KIT,10,725509022390,BSW7,,,2550902239,10,$4.46,$44.60,0,10,$44.60
747036000153,100023,SANEK NECK STRIP 1 bundle,10,747036000153,BSW7,,,,10,$0.45,$4.50,0,10,$4.50
851951130618,100023,ROBERTS DIAMOND BOND PROTECTIVE SHIELD 8oz,10,851951130618,BSW7,,,5195113061,10,$5.99,$59.90,0,10,$59.90
